ID,GS,Cuadrante,DO,fHORA,Ano,Guanacos,DMin,DMax,Patch,Log C2,ALev,NComp,Agr,Sync.Max,ACT,Chulengos,Chu_PA,Sync4
2,GsC,SE,625,T1,8,2,15,15,"706,86","1,372212152","0,5",2,0,"0,5","0,125",0,0,"0,568181818"
5,GsC,SE,670,T1,8,2,15,15,"706,86","1,372212152",1,1,0,1,1,0,0,"1,630434783"
9,GsC,SE,700,T1,8,2,20,20,"1256,64","1,497150888",1,1,0,1,1,0,0,"0,986842105"
12,GsC,SE,608,T1,8,2,30,30,"2827,44","1,673242147",1,1,0,1,1,0,0,"1,339285714"
14,GsC,SE,638,T1,8,2,2,10,"62,832","0,718999638",1,1,0,1,1,0,0,"2,083333333"
15,F,SE,586,T1,8,3,3,10,"94,248","0,684237532",1,2,0,"0,666666667","0,333333333",1,1,"6,25"
17,GsC,SE,631,T1,8,3,50,50,7854,"1,718999638",1,1,0,1,1,0,0,"3,75"
19,F,SE,830,T2,8,9,100,50,15708,"1,36681712",1,2,0,"0,666666667","0,333333333",1,1,"6,25"
20,F,SE,1500,T2,8,17,2,5,"31,416","-0,277366077",1,2,0,"0,588235294","0,294117647",3,1,"6,25"
22,GsC,SE,500,T2,8,2,15,15,"706,86","1,372212152",1,1,0,1,1,0,0,"1,5"
23,GsC,SE,817,T2,8,3,2,5,"31,416","0,475961589",1,1,0,1,1,0,0,"1,923076923"
24,F,SE,995,T2,8,6,2,5,"31,416","0,174931594",1,1,0,1,1,2,1,"2,5"
25,GsC,SE,1500,T2,8,17,2,5,"31,416","-0,277366077",1,1,0,1,1,0,0,"2,083333333"
27,F,SE,980,T2,8,7,5,10,"157,08","0,475961589",1,1,0,1,1,1,1,"1,785714286"
28,GsC,SE,1300,T2,8,10,10,10,"314,16","0,497150888",1,3,0,"0,4","0,133333333",0,0,"1,041666667"
29,GsC,SE,1483,T2,8,14,5,10,"157,08","0,174931594",1,2,1,"0,857142857","0,428571429",0,0,"0,961538462"
30,GsC,SO,1000,T2,8,2,30,30,"2827,44","1,673242147","0,5",2,0,"0,5","0,125",0,0,"0,543478261"
31,GsC,SE,1222,T2,8,6,5,5,"78,54","0,417969642",1,1,0,1,1,0,0,"2,5"
32,GsC,SE,840,T2,8,10,15,20,"942,48","0,731234094","0,8",2,0,"0,8","0,32",0,0,"1,25"
33,GsC,SO,1053,T2,8,2,50,50,7854,"1,895090897","0,5",2,0,"0,5","0,125",0,0,"0,520833333"
34,GsC,SE,1195,T2,8,3,2,5,"31,416","0,475961589",0,1,0,1,0,0,0,"1,923076923"
35,GsC,SE,842,T2,8,9,5,10,"157,08","0,36681712","0,555555556",2,0,"0,555555556","0,154320988",0,0,"0,480769231"
36,GsC,SO,1080,T3,8,2,70,70,"15393,84","2,041218933","0,5",2,0,"0,5","0,125",0,0,"0,5"
37,F,SE,850,T3,8,9,10,10,"314,16","0,542908379","0,777777778",2,0,"0,777777778","0,302469136",1,1,"6,25"
38,F,SE,1596,T3,8,21,2,15,"94,248","-0,277366077","0,904761905",3,0,"0,761904762","0,229780801",1,1,"6,25"
40,F,SE,1200,T3,8,21,2,20,"125,664","-0,2644011","0,714285714",4,0,"0,428571429","0,076530612",2,1,"6,25"
42,GsC,SE,1113,T3,8,11,2,5,"31,416","-0,088309841",1,2,0,"0,909090909","0,454545455",0,0,"0,390625"
43,GsC,SE,1441,T3,8,21,5,20,"314,16","0,078021581","0,80952381",4,0,"0,523809524","0,10600907",0,0,"1,041666667"
45,GsC,SE,1163,T3,8,10,2,5,"31,416","-0,046917156",1,1,0,1,1,0,0,"1,785714286"
46,F,SE,1739,T3,8,20,2,20,"125,664","-0,243211801","0,75",3,0,"0,55","0,1375",1,1,"4,166666667"
48,GsC,SE,1278,T3,8,10,3,30,"282,744","0,233909453",1,1,0,1,1,0,0,"0,714285714"
49,F,SE,1525,T3,8,18,2,20,"125,664","-0,197454311","0,666666667",3,0,"0,444444444","0,098765432",2,1,"4,166666667"
50,GsC,SE,629,T3,8,2,15,15,"706,86","1,372212152",1,1,0,1,1,0,0,"1,5"
51,GsC,SE,1534,T3,8,14,5,15,"235,62","0,226084116","0,642857143",3,0,"0,357142857","0,076530612",0,0,"1,041666667"
56,F,SE,1250,T4,8,5,2,5,"31,416","0,25411284",1,1,0,1,1,1,1,"2,083333333"
57,F,SE,824,T4,8,11,5,10,"157,08","0,279666944","0,727272727",3,0,"0,636363636","0,154269972",2,1,"6,25"
61,GsC,SE,1513,T4,8,27,10,50,"1570,8","0,287635874","0,888888889",5,1,"0,666666667","0,118518519",0,0,"1,041666667"
65,GsC,SE,1613,T5,8,28,10,30,"942,48","0,226084116","0,821428571",3,0,"0,571428571","0,156462585",0,0,"1,041666667"
66,GsC,SE,1630,T5,8,33,5,60,"942,48","-0,056125158","0,848484848",3,0,"0,484848485","0,137128864",0,0,"1,041666667"
68,GsC,SE,1630,T5,8,34,7,70,"1539,384","0,070407322","0,647058824",3,0,"0,352941176","0,076124567",0,0,"1,041666667"
71,GsC,SE,1800,T5,8,40,4,50,"628,32","-0,235242872",0,1,0,1,0,0,0,"12,5"
76,F,SE,812,T1,8,11,3,5,"47,124","0,029789471","0,909090909",2,0,"0,909090909","0,41322314",1,1,"4,166666667"
77,GsC,SE,1521,T1,8,27,5,10,"157,08","-0,110304135","0,925925926",3,0,"0,740740741","0,228623685",0,0,"0,78125"
80,F,SE,922,T2,8,11,3,5,"47,124","0,029789471",1,1,0,1,1,1,1,"2,5"
81,F,SE,1503,T2,8,48,3,50,"471,24","-0,431244964",1,2,0,"0,9375","0,46875",4,1,"4,166666667"
83,GsC,SE,502,T2,8,2,10,10,"314,16","1,196120893",1,1,0,1,1,0,0,"3,125"
84,F,SE,926,T2,8,11,2,15,"94,248","0,003460532",1,1,0,1,1,1,1,"2,083333333"
85,GsC,SE,1393,T2,8,55,2,100,"628,32","-0,649751982","0,963636364",4,0,"0,727272727","0,175206612",0,0,"0,694444444"
87,GsC,SE,514,T2,8,3,10,30,"942,48","1,196120893",1,1,0,1,1,0,0,"2,5"
88,GsC,SE,1158,T2,8,7,3,10,"94,248","0,316260746",1,1,0,1,1,0,0,"3,571428571"
89,F,SE,1158,T2,8,11,5,15,"235,62","0,330819466",1,1,0,1,1,1,1,"1,785714286"
92,GsC,SE,343,T2,8,3,30,50,"4712,4","1,594060901",1,2,0,"0,666666667","0,333333333",0,0,"4,166666667"
93,GsC,SE,1750,T2,8,10,5,10,"157,08","0,321059629",1,2,0,"0,8","0,4",0,0,"1,25"
94,F,SE,1757,T2,8,55,2,65,"408,408","-0,654313256",1,2,0,"0,727272727","0,363636364",1,1,"6,25"
95,GsC,SE,1823,T3,8,20,5,10,"157,08","0,020029634",0,1,0,1,0,0,0,"1,785714286"
98,GsC,SO,882,T3,8,2,10,15,"471,24","1,275302139","0,5",2,0,"0,5","0,125",0,0,"0,625"
102,GsC,SO,772,T3,8,2,5,15,"235,62","1,071182156",1,2,0,"0,5","0,25",0,0,"0,625"
106,F,SE,760,T3,8,11,3,50,"471,24","0,208603588",1,1,0,1,1,1,1,"1,136363636"
107,F,SE,737,T3,8,11,5,50,"785,4","0,414365518",1,1,0,1,1,1,1,"1,136363636"
109,F,SE,770,T3,8,11,5,50,"785,4","0,414365518",1,2,0,"0,909090909","0,454545455",1,1,"4,166666667"
112,GsC,SE,1638,T4,8,2,50,50,7854,"1,895090897",1,1,0,1,1,0,0,"1,102941176"
113,GsC,SE,1582,T4,8,6,2,5,"31,416","0,174931594",1,1,0,1,1,0,0,"8,333333333"
115,GsC,SO,1024,T4,8,2,15,15,"706,86","1,372212152",1,1,0,1,1,0,0,"1,388888889"
116,GsC,SE,1638,T4,8,2,50,50,7854,"1,895090897",1,1,0,1,1,0,0,"4,166666667"
117,GsC,SE,1582,T4,8,5,2,5,"31,416","0,25411284","0,6",2,0,"0,6","0,18",0,0,"0,431034483"
120,GsC,SO,1024,T4,8,2,10,10,"314,16","1,196120893",1,2,0,"0,5","0,25",0,0,"0,625"
121,GsC,SE,1638,T4,8,2,25,25,"1963,5","1,594060901",1,1,0,1,1,0,0,"2,083333333"
122,GsC,SE,1582,T4,8,4,10,5,"157,08","0,718999638","0,5",2,0,"0,5","0,125",0,0,"0,657894737"
124,GsC,SE,482,T4,8,2,2,5,"31,416","0,652052848",1,1,0,1,1,0,0,"8,333333333"
125,F,SE,771,T4,8,2,2,5,"31,416","0,652052848",1,1,0,1,1,1,1,"1,25"
126,GsC,SO,896,T4,8,2,25,25,"1963,5","1,594060901",1,1,0,1,1,0,0,"1,704545455"
127,GsC,SE,1635,T4,8,2,15,20,"942,48","1,430204099",1,2,1,"0,5","0,25",0,0,"0,568181818"
128,GsC,SE,733,T4,8,8,5,20,"314,16","0,497150888",1,1,0,1,1,0,0,"0,657894737"
129,GsC,SO,896,T4,8,2,20,20,"1256,64","1,497150888",1,2,0,"0,5","0,25",0,0,"0,543478261"
130,GsC,SE,814,T4,8,3,3,25,"235,62","0,748962861",1,1,0,1,1,0,0,"2,5"
131,F,SE,1630,T4,8,3,2,20,"125,664","0,58069694",1,1,0,1,1,1,1,"1,136363636"
132,GsC,SE,1467,T4,8,4,5,5,"78,54","0,594060901",1,1,0,1,1,0,0,"0,657894737"
133,F,SE,757,T4,8,11,3,40,"376,992","0,202500989",1,1,0,1,1,1,1,"1,388888889"
135,GsC,SE,635,T5,8,2,100,100,31416,"2,196120893",1,1,0,1,1,0,0,"0,892857143"
136,GsC,SO,844,T5,8,2,10,10,"314,16","1,196120893",1,1,0,1,1,0,0,"3,125"
137,GsC,SE,1493,T5,8,6,2,5,"31,416","0,174931594",1,1,0,1,1,0,0,"8,333333333"
138,F,SE,1534,T5,8,6,2,10,"62,832","0,241878383",1,1,0,1,1,1,1,"1,785714286"
139,F,SE,701,T5,8,10,2,20,"125,664","0,057818194","0,8",2,0,"0,8","0,32",1,1,"4,166666667"
142,GsC,SE,2000,T5,8,8,2,5,"31,416","0,049992857",1,1,0,1,1,0,0,"12,5"
145,F,SE,2000,T5,8,32,5,50,"785,4","-0,049391775",1,1,0,1,1,2,1,"2,083333333"
146,F,SE,532,T1,8,11,5,30,"471,24","0,388811413",1,1,0,1,1,1,1,"1,388888889"
148,F,SE,611,T1,8,11,2,30,"188,496","0,029789471",1,2,0,"0,909090909","0,454545455",1,1,"4,166666667"
151,F,SE,782,T1,8,8,2,30,"188,496","0,168092169",1,1,0,1,1,1,1,"1,388888889"
152,F,SE,679,T1,8,11,2,50,"314,16","0,040784855",1,1,0,1,1,1,1,"1,136363636"
154,F,SE,476,T1,8,3,2,5,"31,416","0,475961589",1,1,0,1,1,1,1,"1,5625"
155,F,SE,787,T1,8,9,5,30,"471,24","0,475961589",1,1,0,1,1,1,1,"1,388888889"
156,F,SE,688,T1,8,11,2,50,"314,16","0,040784855",1,2,0,"0,9","0,45",1,1,"4,166666667"
158,F,SE,635,T1,8,3,2,5,"31,416","0,475961589",1,1,0,1,1,1,1,"1,785714286"
159,GsC,SE,1162,T1,8,3,2,10,"62,832","0,542908379",1,1,0,1,1,0,0,"8,333333333"
160,GsC,SE,1737,T1,8,3,10,50,"1570,8","1,241878383",1,1,0,1,1,0,0,"1,25"
161,F,SE,697,T1,8,11,2,30,"188,496","0,029789471",1,1,0,1,1,1,1,"1,5625"
163,F,SE,637,T1,8,3,2,5,"31,416","0,475961589",1,1,0,1,1,1,1,"1,785714286"
164,F,SE,751,T1,8,11,2,30,"188,496","0,029789471",1,1,0,1,1,1,1,"1,5625"
165,F,SE,821,T2,8,11,2,50,"314,16","0,040784855","0,909090909",2,0,"0,909090909","0,41322314",1,1,"4,166666667"
166,F,SE,701,T2,8,12,2,30,"188,496","-0,00799909",1,2,1,"0,833333333","0,416666667",2,1,"4,166666667"
167,GsC,SE,1253,T2,8,18,2,100,"628,32","-0,164661797",1,1,0,1,1,0,0,"2,5"
169,GsC,SO,760,T2,8,2,10,10,"314,16","1,196120893",1,1,0,1,1,0,0,"3,125"
170,GsC,SO,1033,T2,8,2,15,15,"706,86","1,372212152",1,1,0,1,1,0,0,"1,5"
171,GsC,SE,1467,T2,8,4,5,20,"314,16","0,798180884",1,1,0,1,1,0,0,"1,785714286"
172,F,SE,825,T2,8,11,2,50,"314,16","0,040784855",1,1,0,1,1,1,1,"1,136363636"
173,F,SE,574,T2,8,12,2,20,"125,664","-0,021363052","0,5",2,0,"0,5","0,125",2,1,"6,25"
174,GsC,SE,1123,T2,8,13,5,50,"785,4","0,341814851",1,2,0,"0,769230769","0,384615385",0,0,"1,388888889"
175,GsC,SO,1033,T2,8,2,20,20,"1256,64","1,497150888",1,1,0,1,1,0,0,"0,892857143"
176,F,SE,856,T2,8,3,2,10,"62,832","0,542908379",1,1,0,1,1,1,1,"1,25"
177,F,SE,778,T2,8,5,2,30,"188,496","0,372212152",1,1,0,1,1,2,1,"1,136363636"
178,GsC,SE,1428,T2,8,8,5,100,"1570,8","0,572871602",1,1,0,1,1,0,0,"4,6875"
179,F,SE,586,T2,8,12,2,20,"125,664","-0,021363052","0,5",2,0,"0,5","0,125",2,1,"6,25"
180,GsC,SE,1209,T2,8,21,2,50,"314,16","-0,240041754",1,2,1,"0,952380952","0,476190476",0,0,"3,125"
181,GsC,SO,1080,T2,8,2,50,50,7854,"1,895090897","0,5",2,0,"0,5","0,125",0,0,"0,520833333"
182,F,SE,913,T2,8,3,2,10,"62,832","0,542908379",1,1,0,1,1,1,1,"1,25"
183,F,SE,704,T2,8,11,2,10,"62,832","-0,021363052",1,2,0,"0,9","0,45",1,1,"4,166666667"
184,F,SE,572,T2,8,12,2,50,"314,16","0,002996294",1,1,0,1,1,2,1,"1,25"
185,GsC,SE,1336,T2,8,13,2,50,"314,16","-0,031765812",1,2,0,"0,769230769","0,384615385",0,0,"1,5625"
186,GsC,SE,1156,T2,8,18,2,50,"314,16","-0,173094965",1,2,1,"0,944444444","0,472222222",0,0,5
187,GsC,SO,993,T2,8,2,40,40,"5026,56","1,798180884","0,5",2,0,"0,5","0,125",0,0,"0,543478261"
188,F,SE,959,T2,8,3,5,10,"157,08","0,843938374",1,1,0,1,1,1,1,"1,136363636"
189,F,SE,773,T2,8,7,2,20,"125,664","0,212720154","0,857142857",2,0,"0,857142857","0,367346939",1,1,"4,166666667"
190,GsC,SE,1412,T2,8,8,5,50,"785,4","0,552668216",1,1,0,1,1,0,0,"1,923076923"
191,F,SE,592,T2,8,12,5,50,"785,4","0,376576957","0,833333333",2,0,"0,833333333","0,347222222",2,1,"4,166666667"
192,GsC,SE,1264,T2,8,17,2,100,"628,32","-0,139838214",1,1,0,1,1,0,0,"2,272727273"
193,GsC,SO,974,T3,8,2,50,50,7854,"1,895090897",1,1,0,1,1,0,0,"3,571428571"
194,F,SE,776,T3,8,4,2,10,"62,832","0,417969642",1,1,0,1,1,1,1,"1,5625"
195,GsC,SE,1100,T3,8,8,5,50,"785,4","0,552668216",1,1,0,1,1,0,0,"1,923076923"
196,F,SE,703,T3,8,12,2,30,"188,496","-0,00799909",1,2,0,"0,666666667","0,333333333",2,1,"6,25"
197,GsC,SE,1128,T3,8,18,5,20,"314,16","0,14496837",1,1,0,1,1,0,0,"8,333333333"
199,GsC,SE,926,T3,8,7,5,50,"785,4","0,610660163",1,1,0,1,1,0,0,1
200,F,SE,1383,T3,8,10,2,50,"314,16","0,08217754",1,1,0,1,1,1,1,"1,136363636"
201,F,SE,838,T3,8,11,2,30,"188,496","0,029789471",1,1,0,1,1,1,1,"1,5625"
202,GsC,SE,1049,T3,8,28,2,100,"628,32","-0,356547324","0,928571429",3,1,"0,821428571","0,254251701",0,0,"0,78125"
204,GsC,SE,1153,T3,8,2,100,100,31416,"2,196120893",1,2,1,"0,5","0,25",0,0,"0,5"
205,GsC,SE,934,T3,8,7,2,50,"314,16","0,2370795",1,1,0,1,1,0,0,"1,388888889"
206,F,SE,821,T3,8,11,5,50,"785,4","0,414365518","0,818181818",2,0,"0,818181818","0,334710744",1,1,"4,166666667"
207,F,SE,817,T3,8,14,5,30,"471,24","0,284076063","0,785714286",2,0,"0,785714286","0,308673469",1,1,"4,166666667"
208,GsC,SE,1038,T3,8,26,2,50,"314,16","-0,332795808","0,769230769",2,0,"0,769230769","0,295857988",0,0,"1,5625"
210,GsC,SE,841,T4,8,2,10,10,"314,16","1,196120893",1,1,0,1,1,0,0,"3,125"
211,GsC,SE,1123,T4,8,2,100,100,31416,"2,196120893",1,2,0,"0,5","0,25",0,0,"0,480769231"
212,F,SE,602,T4,8,3,2,5,"31,416","0,475961589",1,1,0,1,1,1,1,"1,785714286"
214,F,SE,812,T4,8,11,2,50,"314,16","0,040784855","0,818181818",2,0,"0,818181818","0,334710744",1,1,"4,166666667"
215,F,SE,880,T4,8,14,5,30,"471,24","0,284076063",1,2,0,"0,857142857","0,428571429",1,1,"4,166666667"
216,GsC,SE,1069,T4,8,17,2,10,"62,832","-0,210419288",1,1,0,1,1,0,0,"1,923076923"
217,GsC,SO,1307,T4,8,2,2,2,"12,5664","0,497150888",0,1,0,1,0,0,0,"1,470588235"
218,GsC,SE,841,T4,8,2,5,30,"471,24","1,129174103",1,1,0,1,1,0,0,"1,875"
219,GsC,SE,773,T4,8,3,5,10,"157,08","0,843938374",1,2,1,"0,666666667","0,333333333",0,0,"6,25"
220,F,SE,832,T4,8,10,5,20,"314,16","0,400240875","0,9",2,0,"0,9","0,405",1,1,"4,166666667"
221,F,SE,815,T4,8,11,2,30,"188,496","0,029789471","0,818181818",2,0,"0,818181818","0,334710744",1,1,"4,166666667"
222,GsC,SE,1161,T4,8,22,2,100,"628,32","-0,251811973",1,2,1,"0,863636364","0,431818182",0,0,"0,833333333"
223,F,SE,821,T4,8,3,2,10,"62,832","0,542908379",1,1,0,1,1,1,1,"1,25"
224,GsC,SE,937,T4,8,3,5,10,"157,08","0,843938374",1,1,0,1,1,0,0,"2,272727273"
226,F,SE,874,T4,8,11,2,50,"314,16","0,040784855","0,727272727",2,0,"0,727272727","0,26446281",1,1,"6,25"
227,GsC,SE,1037,T4,8,13,2,50,"314,16","-0,031765812",1,1,0,1,1,0,0,"12,5"
228,GsC,SO,1313,T4,8,2,5,5,"78,54","0,895090897",1,2,1,"0,5","0,25",0,0,"0,657894737"
229,F,SE,899,T4,8,3,2,30,"188,496","0,594060901",1,1,0,1,1,1,1,"1,136363636"
230,GsC,SE,830,T4,8,5,2,20,"125,664","0,35884819","0,6",2,0,"0,6","0,18",0,0,"0,416666667"
231,F,SE,880,T4,8,11,1,50,"157,08","-0,251811973",1,1,0,1,1,1,1,"1,25"
232,GsC,SE,1087,T4,8,18,2,100,"628,32","-0,164661797",1,1,0,1,1,0,0,"2,5"
233,GsC,SE,1374,T5,8,3,2,5,"31,416","0,475961589",1,1,0,1,1,0,0,"1,923076923"
234,F,SE,851,T5,8,11,2,50,"314,16","0,040784855",1,2,0,"0,909090909","0,454545455",1,1,"4,166666667"
235,GsC,SE,1164,T5,8,13,2,50,"314,16","-0,031765812",1,1,0,1,1,0,0,"12,5"
239,F,SE,1097,T5,8,3,2,50,"314,16","0,605056286",1,1,0,1,1,1,1,"1,136363636"
240,GsC,SE,1363,T5,8,3,2,20,"125,664","0,58069694",1,1,0,1,1,0,0,"1,136363636"
241,F,SE,680,T5,8,11,1,20,"62,832","-0,2644011",1,1,0,1,1,1,1,"2,083333333"
242,GsC,SE,1125,T5,8,13,1,100,"314,16","-0,320083842",1,1,0,"0,769230769","0,769230769",0,0,"2,314814815"
245,F,SE,1311,T5,8,3,1,30,"94,248","0,30681919",1,1,0,1,1,1,1,"1,136363636"
246,F,SE,707,T5,8,11,1,50,"157,08","-0,251811973",1,1,0,1,1,1,1,"1,25"
247,GsC,SE,1205,T5,8,17,2,50,"314,16","-0,148271381",1,1,0,1,1,0,0,"1,041666667"
250,F,SE,1274,T5,8,3,2,5,"31,416","0,475961589",1,1,0,1,1,1,1,"1,785714286"
